"filename", "language", "Dart", "CMake", "YAML", "C++", "Swift", "JSON", "HTML", "Markdown", "XML", "Gradle", "Java Properties", "comment", "blank", "total"
"e:\MyProjects\darlink\ios\RunnerTests\RunnerTests.swift", "Swift", 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 2, 4, 13
"e:\MyProjects\darlink\ios\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 2, 14
"e:\MyProjects\darlink\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 0, 0, 0, 122, 0, 0, 0, 0, 0, 0, 1, 123
"e:\MyProjects\darlink\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json", "JSON", 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 1, 24
"e:\MyProjects\darlink\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 2, 5
"e:\MyProjects\darlink\ios\Runner\Base.lproj\LaunchScreen.storyboard", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 36, 0, 0, 1, 1, 38
"e:\MyProjects\darlink\ios\Runner\Base.lproj\Main.storyboard", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 1, 1, 27
"e:\MyProjects\darlink\ios\Runner\Runner-Bridging-Header.h", "C++", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"e:\MyProjects\darlink\lib\client_view_page.dart", "Dart", 325, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 15, 348
"e:\MyProjects\darlink\lib\constants\app_theme_data.dart", "Dart", 96, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 101
"e:\MyProjects\darlink\lib\constants\colors\app_color.dart", "Dart", 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 9, 58
"e:\MyProjects\darlink\lib\constants\colors\colors_template.dart", "Dart", 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 8, 42
"e:\MyProjects\darlink\lib\constants\colors\template\blue_template.dart", "Dart", 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 56
"e:\MyProjects\darlink\lib\constants\colors\template\green_template.dart", "Dart", 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 56
"e:\MyProjects\darlink\lib\constants\colors\template\grey_template.dart", "Dart", 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13, 66
"e:\MyProjects\darlink\lib\constants\colors\template\orange_template.dart", "Dart", 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13, 66
"e:\MyProjects\darlink\lib\constants\colors\template\purple_template.dart", "Dart", 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13, 66
"e:\MyProjects\darlink\lib\constants\colors\template\redBlack_template.dart", "Dart", 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 56
"e:\MyProjects\darlink\lib\constants\colors\template\red_template.dart", "Dart", 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 56
"e:\MyProjects\darlink\lib\constants\colors\theme_template_manger.dart", "Dart", 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 9, 71
"e:\MyProjects\darlink\lib\constants\database_url.dart", "Dart", 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 54
"e:\MyProjects\darlink\lib\constants\fonts.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\MyProjects\darlink\lib\editable_client_profile_page.dart", "Dart", 335, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 50, 18, 403
"e:\MyProjects\darlink\lib\filter_bottom.dart", "Dart", 431, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 11, 448
"e:\MyProjects\darlink\lib\layout\home_layout.dart", "Dart", 128, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 139
"e:\MyProjects\darlink\lib\main.dart", "Dart", 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 56
"e:\MyProjects\darlink\lib\models\contact.dart", "Dart", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 14
"e:\MyProjects\darlink\lib\models\event.dart", "Dart", 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 32
"e:\MyProjects\darlink\lib\models\message.dart", "Dart", 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 22
